Real Power (P),Real Energy (Pt),Reactive Power (Q),Reactive Energy (Qt),Apparent Power (S),Apparent Energy (St),day_of_week,month
0.8382,0.85415,0.82885,0.75975,0.86365,0.83792,1.0,0.27273
0.6067,0.66345,0.64488,0.50694,0.68599,0.64324,0.0,0.27273
0.45393,0.53757,0.60024,0.44568,0.57094,0.5181,0.16667,0.27273
0.61253,0.6678,0.68881,0.57242,0.69079,0.64716,0.33333,0.27273
0.61705,0.67215,0.68727,0.57292,0.69823,0.65752,0.5,0.27273
0.61328,0.67108,0.74605,0.65526,0.69804,0.6588,0.66667,0.27273
0.52054,0.59276,0.71429,0.60417,0.6291,0.58185,0.83333,0.27273
0.39401,0.48549,0.60615,0.44668,0.52969,0.46974,1.0,0.27273
0.27193,0.38635,0.48675,0.28373,0.43381,0.36587,0.0,0.27273
0.24211,0.35915,0.40787,0.17063,0.4075,0.33439,0.16667,0.27273
0.22785,0.34908,0.4096,0.17361,0.39143,0.3184,0.33333,0.27273
0.51166,0.58182,0.59803,0.43775,0.61833,0.56522,0.5,0.27273
0.26694,0.38304,0.45415,0.24355,0.42913,0.36167,0.66667,0.27273
0.40869,0.50137,0.53606,0.35144,0.53733,0.48168,0.83333,0.27273
0.27062,0.38471,0.47657,0.27307,0.42782,0.35918,1.0,0.27273
0.52202,0.59164,0.59967,0.44544,0.62669,0.57697,0.0,0.27273
0.42582,0.51016,0.56049,0.39236,0.55,0.48997,0.16667,0.27273
0.49732,0.57517,0.59787,0.43824,0.60125,0.55284,0.33333,0.27273
0.52677,0.5993,0.58838,0.41642,0.62254,0.57573,0.5,0.27273
0.41396,0.50453,0.60021,0.44296,0.5422,0.48545,0.66667,0.27273
0.29563,0.39868,0.46128,0.24975,0.45068,0.3769,0.83333,0.27273
0.29746,0.40852,0.45002,0.23859,0.45128,0.38711,1.0,0.27273
0.25742,0.37391,0.40796,0.17659,0.42178,0.3524,0.0,0.27273
0.39282,0.53928,0.45858,0.31598,0.52326,0.52354,0.16667,0.27273
0.31023,0.41634,0.47196,0.27232,0.45596,0.38866,0.33333,0.27273
0.34312,0.44475,0.49521,0.29836,0.4819,0.41825,0.5,0.27273
0.31598,0.42207,0.50819,0.312,0.46194,0.39607,0.66667,0.27273
0.16178,0.29735,0.34811,0.08383,0.34343,0.26878,0.83333,0.27273
0.62949,0.68052,0.67861,0.5372,0.70736,0.6646,1.0,0.27273
0.2745,0.38853,0.50281,0.29985,0.43491,0.36757,0.0,0.27273
0.56122,0.61748,0.59845,0.437,0.64905,0.59443,0.16667,0.36364
0.30728,0.41484,0.5903,0.43328,0.45706,0.39098,0.33333,0.36364
0.32394,0.42761,0.62776,0.48189,0.47055,0.405,0.5,0.36364
0.30516,0.41432,0.60512,0.45312,0.45328,0.38812,0.66667,0.36364
0.29529,0.40315,0.60883,0.45669,0.44829,0.37926,0.83333,0.36364
0.28085,0.39355,0.58802,0.42163,0.43592,0.36838,1.0,0.36364
0.12392,0.264,0.43289,0.20437,0.31374,0.23454,0.0,0.36364
0.04907,0.20016,0.36072,0.10094,0.25569,0.16834,0.16667,0.36364
0.40458,0.49217,0.55885,0.38715,0.53758,0.47578,0.33333,0.36364
0.43135,0.51915,0.55006,0.37624,0.5537,0.49917,0.5,0.36364
0.33069,0.43239,0.52814,0.33631,0.47507,0.40825,0.66667,0.36364
0.18138,0.31095,0.40577,0.17535,0.35951,0.28383,0.83333,0.36364
0.151,0.2864,0.39243,0.1565,0.33731,0.25985,1.0,0.36364
0.11148,0.2534,0.36158,0.10516,0.30371,0.22257,0.0,0.36364
0.17825,0.30803,0.35548,0.10243,0.35383,0.27737,0.16667,0.36364
0.29661,0.39837,0.4124,0.17758,0.44601,0.37115,0.33333,0.36364
0.26218,0.37921,0.43736,0.21032,0.42528,0.35736,0.5,0.36364
0.27499,0.38984,0.44039,0.22049,0.43151,0.36463,0.66667,0.36364
0.27817,0.39402,0.41417,0.18973,0.43854,0.37381,0.83333,0.36364
0.21641,0.34171,0.40596,0.17932,0.38999,0.31904,1.0,0.36364
0.33869,0.4451,0.40134,0.17574,0.47729,0.41793,0.0,0.36364
0.26878,0.38354,0.41014,0.15724,0.42461,0.35716,0.16667,0.36364
0.37195,0.46638,0.47594,0.2753,0.51368,0.45081,0.33333,0.36364
0.38499,0.48456,0.49021,0.28943,0.51791,0.46392,0.5,0.36364
0.40835,0.49894,0.50371,0.3068,0.54312,0.48617,0.66667,0.36364
0.38459,0.48081,0.49289,0.29315,0.52137,0.46416,0.83333,0.36364
0.20377,0.33013,0.35194,0.09945,0.37411,0.30081,1.0,0.36364
0.34163,0.44508,0.38631,0.15402,0.47745,0.41509,0.0,0.36364
0.17911,0.30852,0.35127,0.09945,0.35141,0.27421,0.16667,0.36364
0.26329,0.38304,0.38732,0.14559,0.41505,0.34924,0.33333,0.36364
0.23753,0.35678,0.34525,0.09102,0.39421,0.32136,0.5,0.36364
0.2341,0.35323,0.4168,0.18378,0.39893,0.32622,0.66667,0.45455
0.25584,0.36773,0.39462,0.15675,0.41547,0.34013,0.83333,0.45455
0.20937,0.33469,0.38607,0.14261,0.37808,0.30517,1.0,0.45455
0.3426,0.4509,0.47528,0.26562,0.48281,0.42636,0.0,0.45455
0.22757,0.34843,0.34815,0.10169,0.38889,0.31563,0.16667,0.45455
0.35623,0.46141,0.55617,0.38566,0.49317,0.4372,0.33333,0.45455
0.32488,0.42614,0.47265,0.26538,0.46605,0.3976,0.5,0.45455
0.28567,0.3963,0.4708,0.25992,0.43657,0.36801,0.66667,0.45455
0.47711,0.55375,0.53299,0.35243,0.58616,0.53107,0.83333,0.45455
0.10521,0.2472,0.368,0.11558,0.29385,0.21041,1.0,0.45455
0.07288,0.22096,0.36129,0.11334,0.27157,0.18684,0.0,0.45455
0.00159,0.1613,0.29757,0.02356,0.21495,0.12418,0.16667,0.45455
0.07597,0.21449,0.36898,0.10938,0.27502,0.18142,0.33333,0.45455
0.13755,0.27375,0.4407,0.22545,0.32355,0.24352,0.5,0.45455
0.19452,0.3239,0.50015,0.3063,0.36831,0.29597,0.66667,0.45455
0.0,0.15997,0.28474,0.0,0.21489,0.1242,0.83333,0.45455
0.10266,0.24625,0.3942,0.15947,0.29671,0.21556,1.0,0.45455
0.06642,0.21494,0.35721,0.09177,0.26693,0.18146,0.0,0.45455
0.33124,0.42219,0.50081,0.28596,0.47496,0.39755,0.16667,0.45455
0.24066,0.36291,0.45353,0.24256,0.41052,0.34277,0.33333,0.45455
0.1412,0.27677,0.34753,0.09524,0.32457,0.24433,0.5,0.45455
0.21535,0.33814,0.39701,0.16146,0.38253,0.30838,0.66667,0.45455
0.25332,0.36685,0.41074,0.17956,0.41131,0.33767,0.83333,0.45455
0.23601,0.35852,0.41044,0.1825,0.40196,0.3332,1.0,0.45455
